feature,mean_abs_shap
num__sellingprice,966.2691
num__condition,201.76588
num__odometer,143.9673
num__mmr,61.979275
num__year,3.8304973
cat__make_Mercedes-Benz,1.0817242
cat__model_i8,0.78458196
cat__make_Rolls-Royce,0.77753586
cat__model_911,0.70068216
cat__make_Bentley,0.6306886
cat__state_ca,0.615516
cat__model_Corolla,0.56516427
cat__state_tn,0.5536509
cat__model_Range Rover,0.542451
cat__model_G-Class,0.5282115
cat__state_tx,0.5121574
cat__model_S-Class,0.45958135
cat__model_Silverado 2500HD,0.44055375
cat__state_nj,0.43501407
cat__model_Cruze,0.389992
cat__model_Town and Country,0.38562185
cat__state_fl,0.3835582
cat__model_GL-Class,0.36994705
cat__model_Malibu,0.35311657
cat__model_Tacoma,0.35205734
cat__model_MDX,0.3430302
cat__state_mo,0.33706856
cat__make_Acura,0.31505924
cat__model_Journey,0.2888551
cat__model_Sonata,0.28522298
cat__model_5 Series,0.27960098
cat__model_E-Class,0.27877948
cat__model_Elantra,0.2626637
cat__state_nc,0.26113474
cat__model_R8,0.2562248
cat__model_Dart,0.2406812
cat__model_Xterra,0.23854588
cat__model_Explorer,0.23844428
cat__state_co,0.23491548
cat__make_GMC,0.23460522
cat__state_ma,0.23078837
cat__make_Toyota,0.22433813
cat__make_Dodge,0.21561626
cat__model_Tundra,0.2149158
cat__model_GT-R,0.21404938
cat__make_Chrysler,0.21029301
cat__make_Chevrolet,0.20991194
cat__model_X5,0.20944488
cat__state_pa,0.20725697
cat__make_Audi,0.203332
cat__state_ms,0.1961442
cat__model_Corvette Stingray,0.19178501
cat__model_Rogue,0.19096607
cat__make_BMW,0.18830138
cat__model_Quest,0.18629926
cat__model_Durango,0.18261485
cat__state_ga,0.17910135
cat__make_Ferrari,0.17867592
cat__model_Navigator,0.17809358
cat__model_Expedition,0.17395033
cat__model_Versa,0.17384349
cat__model_Highlander,0.17143553
cat__model_Touareg,0.1695428
cat__model_Prius,0.16712588
cat__model_Cherokee,0.16569933
cat__model_Santa Fe,0.15824181
cat__model_Odyssey,0.15700583
cat__make_Jaguar,0.1560266
cat__state_mi,0.15488836
cat__make_Ford,0.15459469
cat__state_il,0.15193075
cat__model_Wrangler,0.15116386
cat__model_Charger,0.15058184
cat__model_Altima,0.1498729
cat__model_Matrix,0.14869626
